Unnamed: 0,firstname,count,taux_sm,taux_ab,taux_b,taux_tb,taux_fel,Traditionnel,Moderne,Inventé,Européen,Musulman,Africain,Asiatique
14766,LUCYLIA,1,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
14767,LUCYUS,2,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0
14768,LUCÏAN,1,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0
14769,LUDINA,1,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0
14770,LUDIVINE,64,0.15625,0.265625,0.28125,0.1875,0.109375,1,0,0,0,0,0,0
14771,LUDJI,1,0.0,1.0,0.0,0.0,0.0,0,0,0,0,1,0,0
14772,LUDMILA,8,0.0,0.25,0.25,0.375,0.125,0,0,0,1,0,0,0
14773,LUDMILLA,4,0.0,0.25,0.25,0.5,0.0,0,0,0,1,0,0,0
14774,LUDMINA,1,0.0,0.0,1.0,0.0,0.0,0,0,1,0,0,0,0
14775,LUDMYNA,1,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0
14776,LUDOVIC,25,0.28,0.12,0.24,0.2,0.16,1,0,0,0,0,0,0
14777,LUDOVYK,2,0.0,0.0,0.0,0.0,1.0,0,0,0,1,0,0,0
14778,LUDVIC,1,0.0,0.0,1.0,0.0,0.0,1,0,0,0,0,0,0
14779,LUDVIK,1,0.0,0.0,1.0,0.0,0.0,0,0,1,0,0,0,0
14780,LUDWIG,14,0.0714285714285714,0.285714285714286,0.142857142857143,0.5,0.0,1,0,0,0,0,0,0
14781,LUDWIN,1,0.0,1.0,0.0,0.0,0.0,0,0,1,0,0,0,0
14782,LUDWINA,1,0.0,0.0,1.0,0.0,0.0,0,0,1,0,0,0,0
14783,LUELLA,1,0.0,0.0,0.0,1.0,0.0,0,0,1,0,0,0,0
14784,LUGEMBA,1,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0
14785,LUHAN,3,0.0,0.666666666666667,0.0,0.333333333333333,0.0,0,0,1,0,0,0,0
14786,LUIDGI,1,0.0,0.0,1.0,0.0,0.0,0,0,0,1,0,0,0
14787,LUIDGY,1,0.0,0.0,1.0,0.0,0.0,0,0,1,0,0,0,0
14788,LUIDJI,3,0.0,0.666666666666667,0.333333333333333,0.0,0.0,0,0,1,0,0,0,0
14789,LUIGI,30,0.266666666666667,0.366666666666667,0.3,0.0333333333333333,0.0333333333333333,0,0,0,1,0,0,0
14790,LUIGIA,2,0.0,0.0,0.5,0.0,0.5,0,0,0,1,0,0,0
14791,LUIS,55,0.127272727272727,0.309090909090909,0.218181818181818,0.236363636363636,0.109090909090909,0,0,0,1,0,0,0
14792,LUIS-ALESSANDRO,1,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0
14793,LUIS-MANUEL,1,0.0,0.0,0.0,0.0,1.0,0,0,1,0,0,0,0
14794,LUISA,11,0.454545454545455,0.181818181818182,0.181818181818182,0.0909090909090909,0.0909090909090909,0,0,0,1,0,0,0
14795,LUISA-JEANNE,1,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0
14796,LUIZA,5,0.4,0.0,0.4,0.0,0.2,0,0,0,1,0,0,0
